root_626,root_888,fafb_match,malecns_match,cell_type,super_class,neurotransmitter_predicted,sexually_dimorphic,region
720575941486680717,720575941472733451,720575940630610042,524968,DNp32,descending,serotonin,isomorphic,central_brain
720575941662395704,720575941662395704,720575940621388453,11160,DNd02,descending,glutamate,isomorphic,central_brain
720575941626500746,720575941626500746,720575940640978048,10045,DNg100,descending,acetylcholine,isomorphic,central_brain
720575941516280922,720575941631721954,720575940612718563,10253,AN07B004,ascending,,isomorphic,ventral_nerve_cord
720575941393983382,720575941566084871,720575940626462014,10069,AN07B004,ascending,,isomorphic,ventral_nerve_cord
720575941491992807,720575941500851362,720575940647228468,10056,DNg100,descending,acetylcholine,isomorphic,central_brain
720575941620273535,720575941620273535,720575940627482114,11486,DNd03,descending,glutamate,isomorphic,central_brain
720575941393242628,720575941393242628,720575940633228103,10068,DNp30,descending,serotonin,isomorphic,central_brain
720575941579876085,720575941492471502,720575940622500172,10131,DNg74_a,descending,gaba,isomorphic,central_brain
720575941633206944,720575941633206944,720575940610505006,10283,DNp103,descending,,isomorphic,central_brain
720575941652579093,720575941505797682,720575940607384242,11466,DNge149,descending,octopamine,isomorphic,central_brain
720575941537710824,720575941537710824,720575940623338281,10959,DNg98,descending,gaba,isomorphic,central_brain
720575941401814307,720575941401814307,720575940611813842,10301,DNge050,descending,acetylcholine,isomorphic,central_brain
720575941507745826,720575941507745826,720575940636556718,40877,ANXXX005,ascending,serotonin,isomorphic,ventral_nerve_cord
720575941663102520,720575941663102520,720575940644751652,13585,DNg34,descending,octopamine,isomorphic,central_brain
720575941450378333,720575941586006111,720575940623781127,10417,DNp103,descending,acetylcholine,isomorphic,central_brain
720575941604155638,720575941646264993,720575940614138577,10550,AN02A001,ascending,glutamate,isomorphic,ventral_nerve_cord
720575941562215469,720575941557552356,720575940630810486,10394,DNg98,descending,gaba,isomorphic,central_brain
720575941499192905,720575941499192905,720575940637106295,26284,AN05B005,ascending,gaba,isomorphic,ventral_nerve_cord
720575941441623899,720575941595827158,720575940612603289,520300,DNg75,descending,acetylcholine,isomorphic,central_brain
720575941516237817,720575941562932781,720575940627771279,63701,DNd02,descending,glutamate,isomorphic,central_brain
720575941551991295,720575941551991295,720575940645047831,10177,DNg16,descending,acetylcholine,isomorphic,central_brain
720575941563183016,720575941563183016,720575940627087646,525454,DNg74_b,descending,gaba,isomorphic,central_brain
720575941447863316,720575941447863316,720575940629461442,10065,DNb05,descending,,dimorphic,central_brain
720575941614432409,720575941614432409,720575940614342038,12516,DNge047,descending,dopamine,dimorphic,central_brain
720575941652728049,720575941652728049,720575940633529548,10247,DNg74_a,descending,gaba,isomorphic,central_brain
720575941593683051,720575941593683051,720575940619678366,10433,DNp10,descending,acetylcholine,isomorphic,central_brain
720575941619873407,720575941619873407,720575940632126412,16593,ANXXX002,ascending,gaba,isomorphic,ventral_nerve_cord
720575941579780597,720575941579780597,720575940645187784,17522,AN18B001,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941521274551,720575941521274551,720575940629805950,10218,DNg35,descending,acetylcholine,isomorphic,central_brain
720575941504652482,720575941594517032,720575940620322497,555472,DNae009,descending,acetylcholine,isomorphic,central_brain
720575941618058197,720575941618058197,720575940630609170,18940,AN05B006,ascending,gaba,isomorphic,ventral_nerve_cord
720575941477713770,720575941477713770,720575940622565590,10822,DNge047,descending,dopamine,dimorphic,central_brain
720575941595517735,720575941595517735,720575940614730914,10192,DNg75,descending,acetylcholine,isomorphic,central_brain
720575941572471454,720575941572471454,720575940636656632,10520,DNg74_b,descending,gaba,isomorphic,central_brain
720575941431071113,720575941431071113,720575940631269843,17490,AN04B001,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941519463278,720575941519463278,720575940632043576,10281,DNg108,descending,gaba,isomorphic,central_brain
720575941477894686,720575941477894686,720575940613497395,10797,AN12B001,ascending,gaba,isomorphic,ventral_nerve_cord
720575941449384885,720575941449384885,720575940625489160,12405,DNge150,descending,octopamine,isomorphic,central_brain
720575941491648999,720575941646678984,720575940618942721,15550,ANXXX002,ascending,gaba,isomorphic,ventral_nerve_cord
720575941572713886,720575941572713886,720575940620300308,230783,DNg97,descending,acetylcholine,isomorphic,central_brain
720575941451015802,720575941451015802,720575940603599206,21360,AN04B001,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941593522283,720575941593522283,720575940635329180,534063,AN18B001,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941691308952,720575941691308952,720575940620543025,10295,DNg34,descending,octopamine,isomorphic,central_brain
720575941618366079,720575941618366079,720575940628132745,10264,DNp31,descending,acetylcholine,isomorphic,central_brain
720575941513768780,720575941513768780,720575940627826760,10216,DNge037,descending,acetylcholine,isomorphic,central_brain
720575941535975873,720575941535975873,720575940647029044,13130,DNg105,descending,gaba,isomorphic,central_brain
720575941510475536,720575941510475536,720575940629327659,523769,DNa02,descending,acetylcholine,isomorphic,central_brain
720575941655202265,720575941655202265,720575940632001640,33220,AN03B009,ascending,gaba,isomorphic,ventral_nerve_cord
720575941353080624,720575941353080624,720575940627107721,10703,DNge036,descending,acetylcholine,isomorphic,central_brain
720575941506237500,720575941620740991,720575940624910887,10689,AN12B001,ascending,gaba,isomorphic,ventral_nerve_cord
720575941568708398,720575941568708398,720575940622303446,10840,AN19B017,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941490699061,720575941476733243,720575940626768442,536207,AN19B019,ascending,octopamine,isomorphic,ventral_nerve_cord
720575941504555570,720575941493155303,720575940634224540,23826,AN05B005,ascending,gaba,isomorphic,ventral_nerve_cord
720575941542749788,720575941562921773,720575940613632997,10592,AN08B012,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941569365242,720575941569365242,720575940618426021,558778,AN08B012,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941691706264,720575941691706264,720575940622730239,24133,AN19B001,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941554952858,720575941554952858,720575940638204132,10844,DNge053,descending,acetylcholine,isomorphic,central_brain
720575941626272650,720575941626272650,720575940631769058,36930,AN19B001,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941439563583,720575941439563583,720575940630135084,11965,DNge053,descending,acetylcholine,isomorphic,central_brain
720575941539327474,720575941539327474,720575940610640482,10997,AN06B009,ascending,gaba,isomorphic,ventral_nerve_cord
720575941561776173,720575941561776173,720575940613339875,11006,DNge129,descending,gaba,isomorphic,central_brain
720575941486612034,720575941486612034,720575940630085583,10975,DNa03,descending,acetylcholine,isomorphic,central_brain
720575941552142727,720575941552142727,720575940620918789,519624,DNa03,descending,acetylcholine,isomorphic,central_brain
720575941640505375,720575941640505375,720575940620298772,17198,DNge035,descending,acetylcholine,isomorphic,central_brain
720575941519453550,720575941519453550,720575940632472850,10732,DNpe056,descending,acetylcholine,isomorphic,central_brain
720575941669856945,720575941669856945,720575940623224811,27373,AN03B009,ascending,gaba,isomorphic,ventral_nerve_cord
720575941441633883,720575941441633883,720575940620082512,11575,DNge049,descending,acetylcholine,dimorphic,central_brain
720575941553670791,720575941553670791,720575940625502666,11066,DNa13,descending,acetylcholine,isomorphic,central_brain
720575941510642192,720575941510642192,720575940623468691,523329,DNa10,descending,,isomorphic,central_brain
720575941539242389,720575941560931087,720575940630609170,18940,AN05B006,ascending,gaba,isomorphic,ventral_nerve_cord
720575941540215501,720575941509145950,720575940622838154,10010,DNp01,descending,acetylcholine,isomorphic,central_brain
720575941471955264,720575941471955264,720575940632539788,524470,DNbe001,descending,acetylcholine,isomorphic,central_brain
720575941532746981,720575941532746981,720575940641278965,10813,DNp43,descending,acetylcholine,isomorphic,central_brain
720575941688517388,720575941556851027,720575940626085562,10734,DNg93,descending,gaba,isomorphic,central_brain
720575941723377978,720575941723377978,720575940626669355,15188,AN04B001,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941532728195,720575941550999357,720575940632868051,10469,DNbe001,descending,acetylcholine,isomorphic,central_brain
720575941480799395,720575941480799395,720575940624897516,10124,DNg105,descending,gaba,isomorphic,central_brain
720575941492328167,720575941473177099,720575940608188427,10221,DNge037,descending,acetylcholine,isomorphic,central_brain
720575941450261341,720575941433210977,720575940628595944,14994,ANXXX027,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941611791590,720575941611791590,720575940622673860,10228,DNp06,descending,acetylcholine,isomorphic,central_brain
720575941433075470,720575941485157562,720575940637842246,222154,AN00A002,ascending,gaba,isomorphic,ventral_nerve_cord
720575941515944803,720575941515944803,720575940609376707,11310,DNge048,descending,acetylcholine,isomorphic,central_brain
720575941595193558,720575941595193558,720575940623276168,10558,DNp35,descending,acetylcholine,isomorphic,central_brain
720575941536140993,720575941500828578,720575940630480348,10710,DNg102,descending,gaba,isomorphic,central_brain
720575941629968166,720575941629968166,720575940635591776,805992,AN27X011,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941453030983,720575941453030983,720575940653310198,10985,DNbe004,descending,glutamate,isomorphic,central_brain
720575941504860978,720575941504860978,720575940637388004,805362,AN27X011,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941445141012,720575941445141012,720575940619822942,22931,ANXXX006,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941593765672,720575941593765672,720575940628635751,523539,ANXXX027,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941526946562,720575941526946562,720575940623019544,11233,DNa11,descending,acetylcholine,isomorphic,central_brain
720575941473933664,720575941459823519,720575940640723315,12781,DNge104,descending,gaba,isomorphic,central_brain
720575941560024847,720575941560024847,720575940630609170,14899,AN05B006,ascending,gaba,isomorphic,ventral_nerve_cord
720575941592984616,720575941596695591,720575940603599206,519981,AN04B001,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941662407992,720575941662407992,720575940622579967,10536,DNg29,descending,acetylcholine,isomorphic,central_brain
720575941486980560,720575941486980560,720575940620706486,16338,AN12B006,ascending,glutamate,isomorphic,ventral_nerve_cord
720575941469775069,720575941469775069,720575940624877360,12610,DNg102,descending,gaba,isomorphic,central_brain
720575941556379108,720575941556379108,720575940629304702,11737,DNge073,descending,acetylcholine,isomorphic,central_brain
720575941414262161,720575941616497561,720575940629155227,575082,DNpe021,descending,acetylcholine,isomorphic,central_brain
720575941527018009,720575941557603556,720575940625355920,27702,ANXXX013,ascending,gaba,dimorphic,ventral_nerve_cord
720575941490416181,720575941478508830,720575940613019541,10717,DNg93,descending,gaba,isomorphic,central_brain
720575941477915700,720575941477915700,720575940621031006,10823,DNp48,descending,acetylcholine,dimorphic,central_brain
720575941535862506,720575941535862506,720575940627787609,10442,DNa01,descending,acetylcholine,isomorphic,central_brain
720575941553999387,720575941553999387,720575940628635751,13381,ANXXX027,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941663497084,720575941663497084,720575940611735514,10971,DNa11,descending,acetylcholine,isomorphic,central_brain
720575941461875908,720575941461875908,720575940637341668,10931,DNpe045,descending,acetylcholine,isomorphic,central_brain
720575941528109222,720575941480974048,720575940623355114,10544,DNg88,descending,acetylcholine,isomorphic,central_brain
720575941603727545,720575941603727545,720575940619932363,28584,ANXXX013,ascending,gaba,dimorphic,ventral_nerve_cord
720575941431184559,720575941431184559,720575940606425033,12750,DNge136,descending,gaba,isomorphic,central_brain
720575941449745333,720575941449745333,720575940615537041,12868,ANXXX027,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941476980785,720575941476980785,720575940641781152,46240,AN04A001,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941595189029,720575941595189029,720575940618440000,10048,DNp18,descending,acetylcholine,isomorphic,central_brain
720575941595590951,720575941595590951,720575940614403178,11625,DNae005,descending,acetylcholine,dimorphic,central_brain
720575941581684601,720575941581684601,720575940640325429,524412,DNa06,descending,acetylcholine,isomorphic,central_brain
720575941441243839,720575941441243839,720575940606425033,12750,DNge136,descending,gaba,isomorphic,central_brain
720575941510651152,720575941510651152,720575940611108676,10447,DNge138,descending,octopamine,isomorphic,central_brain
720575941480759971,720575941480759971,720575940633996883,12085,DNge136,descending,gaba,isomorphic,central_brain
720575941535086424,720575941535086424,720575940606112940,512006,DNg13,descending,acetylcholine,dimorphic,central_brain
720575941486692493,720575941574715208,720575940617952034,11259,DNp68,descending,acetylcholine,dimorphic,central_brain
720575941427934548,720575941427934548,720575940624766700,12885,DNpe020,descending,acetylcholine,isomorphic,central_brain
720575941572671995,720575941572671995,720575940614581410,10366,DNp59,descending,gaba,isomorphic,central_brain
720575941598907072,720575941598907072,720575940616286175,525960,DNa13,descending,,isomorphic,central_brain
720575941458897392,720575941660289104,720575940630780589,17158,AN05B099,ascending,acetylcholine,dimorphic,ventral_nerve_cord
720575941478429802,720575941478429802,720575940632524559,10967,DNg70,descending,gaba,isomorphic,central_brain
720575941662506040,720575941662506040,720575940644666660,11653,DNg27,descending,glutamate,isomorphic,central_brain
720575941496011719,720575941660533840,720575940632962786,519460,DNa16,descending,acetylcholine,isomorphic,central_brain
720575941438655506,720575941548238004,720575940632486969,10163,DNge036,descending,acetylcholine,isomorphic,central_brain
720575941496642944,720575941496642944,720575940641781152,31227,AN07B005,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941652633585,720575941652633585,720575940620380449,521262,DNae002,descending,acetylcholine,isomorphic,central_brain
720575941441906779,720575941441906779,720575940620589147,78114,AN04A001,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941543045149,720575941543045149,720575940634140883,513711,DNa09,descending,,dimorphic,central_brain
720575941537766632,720575941537766632,720575940631333195,11258,DNd05,descending,acetylcholine,isomorphic,central_brain
720575941552024575,720575941552024575,720575940641781152,800658,AN07B005,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941477419828,720575941487951757,720575940627044885,11103,DNge141,descending,gaba,isomorphic,central_brain
720575941401962787,720575941401962787,720575940631282194,12249,DNg104,descending,octopamine,isomorphic,central_brain
720575941474126944,720575941508061975,720575940642894628,10968,DNp34,descending,acetylcholine,isomorphic,central_brain
720575941560162798,720575941560162798,720575940628437291,10234,DNp35,descending,acetylcholine,isomorphic,central_brain
720575941566170422,720575941566170422,720575940640747352,11380,DNp14,descending,acetylcholine,isomorphic,central_brain
720575941571900232,720575941571900232,720575940619346102,342502,AN18B004,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941589304644,720575941589304644,720575940609376707,11421,DNge048,descending,acetylcholine,isomorphic,central_brain
720575941671658407,720575941441452373,720575940623122125,521317,DNp104,descending,acetylcholine,isomorphic,central_brain
720575941528320952,720575941528320952,720575940621065301,10885,DNg88,descending,acetylcholine,isomorphic,central_brain
720575941507568709,720575941566543714,720575940621519130,10543,DNa16,descending,acetylcholine,isomorphic,central_brain
720575941551948543,720575941551948543,720575940636610671,11554,DNp63,descending,acetylcholine,isomorphic,central_brain
720575941450363770,720575941450363770,720575940636674190,18714,AN18B004,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941458813680,720575941625422076,720575940647036724,14026,AN05B004,ascending,gaba,isomorphic,ventral_nerve_cord
720575941578803025,720575941578803025,720575940625502666,516170,DNa13,descending,acetylcholine,isomorphic,central_brain
720575941452429690,720575941452429690,720575940609082180,16885,AN27X009,ascending,serotonin,isomorphic,ventral_nerve_cord
720575941450587726,720575941566793879,720575940643347616,10244,DNp55,descending,acetylcholine,isomorphic,central_brain
720575941458803952,720575941458803952,720575940630026745,14899,AN05B006,ascending,gaba,isomorphic,ventral_nerve_cord
720575941515630947,720575941515630947,720575940629421159,800845,DNp12,descending,acetylcholine,isomorphic,central_brain
720575941535140362,720575941535140362,720575940627825923,10141,DNg15,descending,acetylcholine,isomorphic,central_brain
720575941595376677,720575941595376677,720575940615043222,11610,DNae007,descending,,isomorphic,central_brain
