BANC,FAFB,MCNS
720575941414046865,720575940639443328,525242
720575941584750431,720575940615911261,28805
720575941564273298,720575940633265844,65308
720575941569774450,720575940615257395,171087
720575941442550479,720575940637731817,486728361
720575941703406298,720575940622569001,133448
720575941569574900,720575940626075079,77132
720575941732563243,720575940624625388,21476
720575941560275215,720575940615858747,34351
720575941445062570,720575940631321618,955899
720575941412681583,720575940626571592,165341
720575941604979902,720575940626607626,521480
720575941613408220,720575940627418389,74649
720575941436083488,720575940621464344,930760
720575941589045828,720575940624065724,270708
720575941492133095,720575940609774347,544217
720575941409931284,720575940624432103,515724975
720575941503574251,720575940608920388,21168
720575941690872539,720575940624524848,371094763
720575941431362735,720575940623543303,133214
720575941519494254,720575940639427416,105395
720575941589923895,720575940613481256,201931
720575941560983597,720575940620227617,92013
720575941595517989,720575940630141558,396307
720575941591598716,720575940613762015,547236
720575941576468406,720575940619440182,118058
720575941438104108,720575940630063671,523630
720575941393898134,720575940609171524,57885
720575941394065814,720575940620686324,144792
720575941493410480,720575940634682263,39926
720575941574502920,720575940631474316,246478
720575941442180815,720575940621625349,216778
720575941516218458,720575940609785208,189202940
720575941651800853,720575940617566110,78230
720575941560185359,720575940618633014,131221
720575941596944517,720575940620377588,85318
720575941592675691,720575940630117879,527138
720575941573692680,720575940626860487,203974
720575941432068193,720575940625154181,522347
720575941504973591,720575940611232370,171780
720575941439377749,720575940626772357,52751
720575941613717724,720575940615650646,195421
720575941496325760,720575940627570600,151869
720575941653807889,720575940630506819,104164
720575941436087328,720575940614927989,919061
720575941732201259,720575940635286958,92679
720575941483789498,720575940619465131,934247
720575941592598056,720575940629513948,71561
720575941575584872,720575940619150040,925607
720575941593777771,720575940610294933,516287
720575941501689227,720575940638822515,239398
720575941569636084,720575940619514816,215119
720575941427997012,720575940634771892,222240
720575941586878686,720575940621849015,22109
720575941504669234,720575940620926234,581710868
720575941504029527,720575940641495693,60552
720575941576914777,720575940625489978,41031
720575941518721752,720575940621291852,183161
720575941560811821,720575940613736941,149145
720575941499989154,720575940635437560,10021
720575941595448022,720575940623880013,236557
720575941519085484,720575940626529448,557870
720575941570057722,720575940606612937,25108
720575941492956336,720575940628295242,136208
720575941569131002,720575940624066279,525229
720575941560462318,720575940627807761,922235
720575941490815086,720575940624668908,19768
720575941575500687,720575940615747259,464464
720575941484048826,720575940632510163,519558
720575941492945072,720575940625128067,61360
720575941611219786,720575940614280554,308087
720575941439856095,720575940611734641,105454
720575941416320284,720575940621643773,30441
720575941493543600,720575940635534704,34071
720575941477099057,720575940619632148,75932
720575941625409947,720575940620993193,176180
720575941517179539,720575940632166881,167196
720575941564646912,720575940606667977,205908
720575941595786279,720575940606756198,50241
720575941402014499,720575940625334794,518976
720575941402048803,720575940625309882,119152
720575941575143177,720575940633218956,158472
720575941491289804,720575940622969001,119491
720575941585021830,720575940609533635,268396
720575941612301670,720575940639428515,50880
720575941503319895,720575940624227509,218206
720575941487184450,720575940645089559,403791
720575941574778875,720575940649433209,208886
720575941572225019,720575940630692456,81643
720575941408300079,720575940634414959,232880
720575941578193753,720575940632351898,30720
720575941611626570,720575940629591746,550890
720575941613478675,720575940613664874,32864
720575941409080879,720575940627318696,739955728
720575941486561933,720575940608288092,103397
720575941569805170,720575940631038125,529455
720575941405191280,720575940643403208,404599
720575941615649433,720575940639219253,114685
720575941436132384,720575940622810697,192086
720575941485530253,720575940626256992,238902
720575941441744987,720575940611984114,1037165389
720575941625984411,720575940625813081,175062
720575941401231395,720575940629521861,154082
720575941586753758,720575940630835195,666801768
720575941491346151,720575940610479555,48166
720575941569403898,720575940636839280,58501
720575941504363970,720575940637558618,82293
720575941566407734,720575940625356732,53790
720575941442204879,720575940638113001,526119
720575941430853368,720575940630427131,90363
720575941494602595,720575940615825211,953976
720575941580468213,720575940631186432,512216
720575941625737068,720575940627857384,76309
720575941500900414,720575940659479937,221800013
720575941730995243,720575940625449360,88982
720575941579305809,720575940604847392,230056
720575941585753822,720575940631461674,66950
720575941586602206,720575940660004737,24079
720575941416734535,720575940621828732,118426
720575941603690942,720575940625868184,239977
720575941595339633,720575940626618696,180217
720575941483235270,720575940638871128,559975
720575941559479278,720575940618606715,157110
720575941446848532,720575940622776013,98462
720575941483265478,720575940629481516,522762
720575941447580180,720575940626422513,51094
720575941628256825,720575940631425361,791416133
720575941448329236,720575940626159716,156855
720575941557435044,720575940625977786,523029
720575941556990372,720575940609735363,135697
720575941556042835,720575940610762850,44644
720575941555685121,720575940629500410,149493
720575941449817520,720575940619941067,42619
720575941555367937,720575940626048637,195837
720575941555357156,720575940611223794,954471
720575941482915270,720575940645097838,527430
720575941450031029,720575940630158140,29157
720575941554637722,720575940617258821,233653
720575941450297693,720575940623013355,669738951
720575941630059558,720575940620144304,39668
720575941482336963,720575940625213898,94487
720575941451537274,720575940634023860,188343
720575941552280894,720575940623004429,184619
720575941452349255,720575940619443694,25625
720575941452457799,720575940622107937,158641
