BANC,FAFB,MCNS
720575941521520307,720575940640830453,10376
720575941452157818,720575940619084891,35422
720575941502355691,720575940645808931,530738
720575941573059400,720575940612615833,536998
720575941562295720,720575940635032986,26519
720575941610664621,720575940630137655,515950
720575941589948390,720575940625054647,263851661
720575941645396424,720575940630296428,167050
720575941580041041,720575940604524465,344177
720575941520171959,720575940617043713,61116
720575941574851510,720575940630012663,16542
720575941450620494,720575940618095892,928701
720575941462437264,720575940614956072,56207
720575941351775792,720575940632237534,104990
720575941624479996,720575940630002908,10706
720575941593802091,720575940634714804,192465
720575941524109027,720575940623799335,220219
720575941463953421,720575940633881645,26005
720575941603367865,720575940616735675,147661
720575941651370261,720575940629896183,83344
720575941506197026,720575940631233581,540247
720575941651618069,720575940629098540,29386
720575941610928870,720575940633178872,556667
720575941542361180,720575940659307649,40743
720575941437742559,720575940623461709,109717
720575941552880190,720575940624106340,150277
720575941519241176,720575940645352814,10582
720575941432137313,720575940616964509,109982
720575941541896540,720575940642691744,31036
720575941484123066,720575940629824378,218513
720575941518593452,720575940631650066,92392
720575941452606074,720575940622344216,205974
720575941508937762,720575940630420281,82816
720575941525113956,720575940620306648,33349
720575941508788258,720575940638542936,173565
720575941628077625,720575940616010530,86452
720575941645373857,720575940622340137,536275
720575941633329568,720575940626252062,148931
720575941518234222,720575940613428008,249245
720575941559532559,720575940622706653,11239
720575941688660492,720575940610683342,86737
720575941547512500,720575940627397386,185978
720575941514111564,720575940615323298,14554
720575941559757038,720575940612462307,19229
720575941505765761,720575940620263558,76465
720575941603098814,720575940616813858,18670
720575941574724361,720575940630054735,16850
720575941515951459,720575940614648273,14567
720575941479677519,720575940627634929,14707
720575941548675188,720575940629317450,517257
720575941478637792,720575940613710511,118069
720575941418949908,720575940659150977,226164
720575941519164782,720575940647121972,189142
720575941563548160,720575940632512703,191906
720575941476087326,720575940616111243,15303
720575941533379416,720575940622917876,23421
720575941470004445,720575940621319156,11352
720575941569258866,720575940613052330,59876
720575941528165304,720575940628266578,99410
720575941653750740,720575940623144340,40760
720575941652757489,720575940627062088,15302
720575941466974550,720575940623535029,810541
720575941429640073,720575940629102891,512190
720575941688242328,720575940611807795,35345
720575941408001071,720575940635667607,173799
720575941546755464,720575940617912536,197180
720575941450913402,720575940621255011,148054
720575941489207605,720575940614963359,217516
720575941458103280,720575940636703977,22867
720575941506429605,720575940625818426,266102935
720575941566144814,720575940620947981,49752
720575941551963527,720575940628642216,78063
720575941655107540,720575940622717683,135899
720575941518593134,720575940630899513,306404
720575941554345985,720575940617517661,42619
720575941603028665,720575940613537686,26026
720575941486574598,720575940613668620,33333
720575941449002933,720575940617182365,32169
720575941565144374,720575940625680074,182225468
720575941499218401,720575940611984114,250249
720575941656710736,720575940615659521,15509
720575941651758613,720575940612692963,129936
720575941477411636,720575940623728647,15569
720575941564494994,720575940645564183,309407
720575941434601870,720575940605834882,15430
720575941535264746,720575940629001935,157770
720575941548745332,720575940614602655,42475
720575941393538966,720575940616749661,98879
720575941515541507,720575940628896299,648663099
720575941535237898,720575940621590250,121769
720575941575021725,720575940618402489,63344
720575941450011317,720575940627821553,346302680
720575941411357355,720575940636886639,18673
720575941614366995,720575940640601563,13491
720575941654617817,720575940627750647,544736
720575941526854477,720575940611645333,66550
720575941590374199,720575940617253666,173605
720575941643776850,720575940623151565,176066484
720575941553295899,720575940630930373,172904
720575941563642624,720575940625841214,794490506
720575941536109578,720575940627431311,590394
720575941645342369,720575940604988332,344928887
720575941613447443,720575940614596795,199328457
720575941489489973,720575940613042403,106828
720575941585995910,720575940621689584,73386
720575941490535600,720575940639919824,19570
720575941431561057,720575940636311130,307621
720575941564134242,720575940647523705,160324150
720575941542468956,720575940614595643,47659
720575941504158039,720575940631639097,739955728
720575941442352591,720575940628787944,21819
720575941520735411,720575940620473547,12869
720575941459451807,720575940605023008,523027
720575941441776987,720575940629097078,76141
720575941411777647,720575940626571592,165341
720575941410351019,720575940619954091,205908
720575941605893997,720575940629233884,157978
720575941519146350,720575940626485514,14222
720575941631922117,720575940619679471,157603
720575941670391207,720575940613897890,249310
720575941660769336,720575940607961283,122162
720575941441572443,720575940624107081,52572
720575941390795012,720575940623435239,104321
720575941626434412,720575940628143345,511762
720575941588131652,720575940632081439,300535
720575941644236961,720575940634229871,48265
720575941574418171,720575940622368792,10767
720575941542614876,720575940626348218,804941
720575941524328191,720575940608863241,191675
720575941574778875,720575940630131663,208886
720575941574346397,720575940639212632,194889
720575941504597186,720575940625960360,47819
720575941574918031,720575940628953591,52110
720575941493458096,720575940627221763,13874
720575941534113880,720575940609065774,519546
720575941580917369,720575940621508336,275117
720575941560643175,720575940603266592,522761
720575941590508840,720575940630671953,80549
720575941568317230,720575940614511614,46875
720575941532689125,720575940622301191,42800
720575941431421944,720575940624702698,531581
720575941624252924,720575940607168725,47202
720575941480917187,720575940627234069,13852
720575941624812187,720575940604772576,59042
720575941587993399,720575940611277293,375384
720575941474512955,720575940622723059,48377
720575941555706451,720575940625665405,516902
720575941476250164,720575940612366322,55370
720575941652800273,720575940626417997,102093
720575941569055602,720575940619977398,55081
720575941477713770,720575940632161311,10822
720575941611967452,720575940635463275,143060
720575941470835264,720575940628074711,90679
720575941449101149,720575940618057921,825098
720575941513308236,720575940624091061,316132
720575941476039274,720575940620220698,529459
720575941478675818,720575940627611142,52029
720575941547251124,720575940636501428,172286
720575941515592538,720575940630057039,520168
720575941645584840,720575940619176094,12563
720575941492629680,720575940617598779,60159
720575941642394213,720575940604908972,144747
720575941577489241,720575940618668198,18906
720575941603177462,720575940637080154,159834
720575941551922238,720575940611521778,22736
720575941570720926,720575940635590324,94905
720575941566662503,720575940644528163,176608
720575941392487428,720575940629522474,93128
720575941515913571,720575940632735545,83319
720575941590612478,720575940612398515,57918
720575941623967690,720575940626117904,101048
720575941505120050,720575940621157140,75676
720575941449614429,720575940630797113,553738738
720575941520197303,720575940634800759,74548
720575941414131092,720575940638919485,69938
720575941656223450,720575940609080412,192346
720575941543962629,720575940624124109,36631
720575941440014047,720575940617951291,46785
720575941559950863,720575940617689816,293452
720575941604048830,720575940632463890,229702
720575941527729284,720575940609453013,271794
720575941565823895,720575940617339973,144256
720575941525316685,720575940619395494,83730
720575941408797487,720575940631882636,54408
720575941593229608,720575940615792946,159653
720575941471503479,720575940607339971,57934
720575941538173416,720575940626755783,131344
720575941512481279,720575940619354945,533913
720575941540544637,720575940634320319,115221
720575941434224526,720575940613656231,21403
720575941536044570,720575940628530487,155194
720575941566865511,720575940604581152,84729
720575941564186007,720575940624967463,523773
720575941515909635,720575940631091407,22047
720575941431652015,720575940629009786,921951
720575941508588834,720575940626784868,12660
720575941431373999,720575940610896338,21261
720575941527086873,720575940625003152,14541
720575941459360070,720575940649024121,24709
720575941532215013,720575940620408353,57555
720575941493233790,720575940615151870,101152
720575941612758957,720575940617518548,115982
720575941432172046,720575940633996911,88023
720575941431582345,720575940633033133,207455
720575941531528421,720575940624431288,85220
720575941473687904,720575940641486032,12356
720575941506545980,720575940659323521,80663
720575941437724460,720575940620424641,69175
720575941521872051,720575940641639309,28715
720575941655061977,720575940622657285,525349
720575941411460779,720575940618748929,12308
720575941466194454,720575940604954289,802401
720575941458928031,720575940624117245,520151
720575941625175498,720575940613950530,130973
720575941553697363,720575940618076244,116889
720575941539349141,720575940642328736,67355
720575941598964416,720575940628695056,12985
720575941655095001,720575940614340502,206633
720575941474357290,720575940631368544,430178
720575941716033067,720575940627490663,942168
720575941501976825,720575940619152811,131538
720575941480406402,720575940603984486,146923
720575941401766435,720575940644494752,10800
720575941413923729,720575940621548897,41491
720575941502516530,720575940604974368,115198
720575941495626951,720575940636855871,205021
720575941534435338,720575940615043368,12306
720575941579626577,720575940618659008,41598
720575941454918707,720575940627758135,559107
720575941630478818,720575940631293092,529709
720575941546771636,720575940628716360,513662
720575941499743138,720575940610236740,934247
720575941431459759,720575940619453831,182074
720575941572999419,720575940629472638,108235
720575941440835163,720575940640352334,30437
720575941567161850,720575940637238505,22302
720575941652845041,720575940617884692,10087
720575941492122800,720575940625455134,95970
720575941560578163,720575940630835195,923628
720575941497437769,720575940620445318,102291
720575941570584990,720575940636852294,556759
720575941472966698,720575940621127851,103982
720575941518945459,720575940634525303,48565
720575941533059301,720575940636359275,17614
720575941625519468,720575940625119271,88166
720575941415807260,720575940611810531,71610
720575941476707380,720575940626772357,57545
720575941466587478,720575940645865092,457710
720575941568018676,720575940629795331,61303
720575941687421302,720575940630297292,14952
720575941537142810,720575940622448008,33117
720575941575474319,720575940629020675,878712549
720575941536850368,720575940622549324,190071
720575941681314237,720575940625734714,511993
720575941572171166,720575940644438039,524761
720575941539490941,720575940633925788,81238
720575941640115743,720575940615258163,135172
720575941633806011,720575940620020827,521023
720575941497371721,720575940629854671,27544
720575941456881389,720575940643403208,296771
720575941469682443,720575940631305467,68852
720575941534254570,720575940626093720,26378
720575941539254514,720575940645180360,49962
720575941552326279,720575940603339232,94866
720575941650985493,720575940625565368,397749
720575941516115802,720575940628225034,530860
720575941602236345,720575940624384037,37050
720575941429194633,720575940623388198,53762
720575941453010247,720575940627988306,41799
720575941586104710,720575940629925207,27782
720575941516877715,720575940635736183,115755
720575941574859017,720575940615219417,32069
720575941564632674,720575940621521422,47521
720575941480969123,720575940625003653,28967
720575941507526213,720575940625519633,344038
720575941690766555,720575940629361346,23891
720575941553130779,720575940630043599,154416
720575941480177487,720575940629704297,92774
720575941531584203,720575940624762382,139458
720575941465015830,720575940629516793,99942
720575941499391713,720575940635425893,208587231
720575941598765212,720575940614808386,524242
720575941565741622,720575940626609128,209528
720575941501374699,720575940612053221,114443
720575941572956232,720575940602447328,129436
720575941654719700,720575940631735265,81419
720575941645571784,720575940605781449,54017
720575941454033971,720575940628433511,85141
720575941491766247,720575940617387732,58243
720575941606929261,720575940652083190,13411
720575941540585933,720575940612264817,12567
720575941513096012,720575940626162890,12850
720575941505088023,720575940625835278,20535
720575941588595012,720575940622981902,52575
720575941438015506,720575940629835419,419239
720575941515893859,720575940609002360,165017
720575941540213965,720575940632129848,13180
