BANC,FAFB,MCNS
720575941687006988,720575940614959675,50664
720575941687050991,720575940632081439,841588314
720575941686748172,720575940633212316,83483
720575941686886006,720575940610940462,63121
720575941686893068,720575940628538106,28873
720575941686930038,720575940640753104,149903
720575941686962806,720575940611050649,26880
720575941686279542,720575940615220802,25773
720575941686360438,720575940651812342,60088
720575941686377590,720575940645212980,60146
720575941686419439,720575940633272147,110906
720575941686580342,720575940633360610,531003
720575941686633228,720575940618700849,28153
720575941686682380,720575940614412511,69476
720575941686690316,720575940637088602,37431
720575941685913356,720575940644658542,13892
720575941685989132,720575940613440479,144165
720575941686025967,720575940621262716,74566
720575941686072588,720575940615687380,536264
720575941686241519,720575940617047581,63301
720575941686276847,720575940628392279,28793
720575941681459389,720575940622864107,13635
720575941681486269,720575940609065774,519546
720575941681685693,720575940634243775,18153
720575941685508079,720575940610488213,86569
720575941685678575,720575940624574537,515973
720575941685680623,720575940626498898,514108
720575941685783158,720575940621522190,817088
720575941685783535,720575940608581188,62693
720575941687240460,720575940614919709,238902
720575941687263350,720575940618824256,514121
720575941687270412,720575940622982588,112676
720575941687288303,720575940621917645,15518
720575941687311855,720575940631317463,173503
720575941687335798,720575940631570733,108099
720575941687340271,720575940629317436,114723
720575941323909680,720575940614151976,524511
720575941350528560,720575940613214098,34226
720575941687423471,720575940623054375,47310
720575941681236925,720575940652258806,13300
720575941681308349,720575940637934308,515015
720575941681314237,720575940625734714,511993
720575941681317309,720575940635102745,11665
720575941681334205,720575940636016751,17681
720575941680594621,720575940629729787,141759
720575941680730301,720575940620996357,37638
720575941680756157,720575940630750279,409246
720575941681019325,720575940622019333,111432
720575941681075389,720575940630705170,26671
720575941681093821,720575940631467565,231544
720575941681114557,720575940618778247,77767
720575941681143485,720575940618160273,45735
720575941681143741,720575940632964423,11349
720575941679830717,720575940613061118,522754
720575941679854013,720575940619619675,522440
720575941351470128,720575940622050781,27168
720575941351483696,720575940621380011,30585
720575941351717168,720575940634834330,125123
720575941351797552,720575940625680074,262699
720575941352202800,720575940623067114,138439
720575941679976125,720575940613042403,55062
720575941680234941,720575940646540910,276359
720575941680248509,720575940620555252,184468
720575941680269757,720575940623322697,203974
720575941680312253,720575940629709250,20930
720575941680381117,720575940621457577,87697
720575941680537789,720575940638888819,72145
720575941352470576,720575940615528678,19454
720575941352473648,720575940626510869,19685
720575941352631600,720575940620633309,530301
720575941352714544,720575940637844157,221504
720575941679345597,720575940628891863,18189
720575941679394749,720575940623040263,39797
720575941679569853,720575940623444604,152505
720575941679800765,720575940628818023,246573
720575941687473270,720575940619953535,100493
720575941687492847,720575940624342812,14820
720575941687538159,720575940621649345,168887
720575941687585036,720575940606663881,15443
720575941687586316,720575940654227105,16458
720575941687623948,720575940617815687,249842
720575941687640332,720575940622344216,42619
720575941687655180,720575940637731817,954471
720575941671641767,720575940618045776,23969
720575941671658407,720575940623122125,521317
720575941671681191,720575940634619060,19513
720575941671850407,720575940623724007,44058
720575941352918576,720575940632407826,11131
720575941352965936,720575940650857337,31605
720575941352972080,720575940615553426,24222
720575941352978224,720575940631624761,51430
720575941353008688,720575940621351412,10827
720575941353080624,720575940627107721,10703
720575941353100336,720575940658101889,16360
720575941671970215,720575940627580702,31871
720575941671473063,720575940647055395,68488
720575941671479207,720575940623467664,56233
720575941671480487,720575940626800552,97438
720575941671488167,720575940622074109,53996
720575941671577511,720575940610734449,18631
720575941671579303,720575940629403959,18121
720575941353147440,720575940610637786,180875
720575941353180976,720575940627400522,24283
720575941352825904,720575940610036834,193139
720575941671202983,720575940622044381,58405
720575941671250087,720575940630667660,812109902
720575941671285671,720575940612955107,910534796
720575941671332775,720575940613500226,52190
720575941671337127,720575940632126860,12858
720575941671361703,720575940615070837,344177
720575941671431335,720575940632664268,515072
720575941670636455,720575940603911340,186020
720575941670636967,720575940619798381,289691
720575941390400260,720575940622318085,10381
720575941670819495,720575940621762567,125557
720575941670943399,720575940622239587,53224
720575941671000743,720575940622084774,53482
720575941671082663,720575940619299054,162050
720575941670244273,720575940630484495,12032
720575941670277287,720575940633394784,163887
720575941670279847,720575940615867103,532836
720575941670442929,720575940622958059,514032
720575941670463921,720575940643619863,18727
720575941670601383,720575940635588131,151641
720575941670032817,720575940640333109,11128
720575941670106279,720575940632593735,108516
720575941670122161,720575940619757147,59499
720575941670130609,720575940624539284,512788
720575941670132913,720575940645344110,127593
720575941670152881,720575940621730157,17930
720575941371748949,720575940624005572,151871
720575941390285462,720575940625550398,36631
720575941687704076,720575940626859080,13736
720575941687730956,720575940624020723,106050
720575941687752972,720575940629938731,30255
720575941687760908,720575940645497140,20060
720575941687764854,720575940629837628,262241
720575941687771375,720575940632435999,133411
720575941669313447,720575940620982966,13812
720575941669442737,720575940620339068,36175
720575941669523633,720575940621583367,266262
720575941668960167,720575940652809889,14284
720575941390795012,720575940623435239,104321
720575941390885636,720575940618177739,148830
720575941391084804,720575940627623467,44360
720575941391170052,720575940623149607,45508
720575941391186436,720575940616596308,48229
720575941391216022,720575940637104710,89255
720575941668964529,720575940611475370,593224
720575941669292977,720575940619432129,28900
720575941668618483,720575940615868054,14896
720575941668758449,720575940631542753,139941
720575941668844209,720575940620015787,30016
720575941668948391,720575940632778051,12388
720575941668537331,720575940630570204,52504
720575941668549363,720575940622717683,521737
720575941668553971,720575940630732414,72597
720575941391387030,720575940626522696,536972
720575941391420164,720575940611926186,102318
720575941391464196,720575940607152085,41881
720575941391522198,720575940615488629,26111
720575941391589380,720575940623793741,251420
720575941391687062,720575940619872238,44800
720575941390623382,720575940644166048,10059
720575941668575219,720575940627127746,13330
720575941668606707,720575940630520314,513702
720575941668440497,720575940630597839,512913
720575941668463091,720575940611027930,26058
720575941668465319,720575940631061900,23819
720575941668473843,720575940611294426,20827
720575941668474099,720575940612120026,39217
720575941668481779,720575940629297664,44495
720575941668500723,720575940610239939,32277
720575941668513011,720575940629777018,10106
720575941668082675,720575940615747259,383889
720575941668123569,720575940628922186,26884
720575941668187569,720575940610872050,25873
720575941391770116,720575940628884486,20036
720575941391786646,720575940622784380,58671
720575941391928580,720575940619565648,391902
720575941391932310,720575940616180881,518760
720575941391943684,720575940628826172,457710
720575941391953156,720575940616356281,217300
720575941391958020,720575940629543644,245617
720575941668424947,720575940617252642,132232
720575941668426161,720575940641648436,86578
720575941667942131,720575940619465904,92679
720575941667975155,720575940606958859,168823
720575941668001457,720575940648920953,45606
720575941668003249,720575940637958709,33694
720575941668013745,720575940633683757,135185
720575941392160004,720575940623526985,50850
720575941392184068,720575940628356102,13219
720575941668051187,720575940627752443,249245
720575941668075953,720575940617763707,60347
720575941687786358,720575940606698882,390433
720575941687787276,720575940634513515,51673
720575941687797110,720575940645611652,183009
720575941687825903,720575940608407049,86967
720575941687939852,720575940616078751,51828
720575941667611057,720575940639161472,130667
720575941667623923,720575940622148391,25860
720575941667722417,720575940614349535,56904
720575941667729651,720575940617390107,73532
720575941667773361,720575940638793304,28398
720575941667827699,720575940632036492,524741
720575941392351748,720575940626384200,13132
720575941392390916,720575940621405972,58090
720575941392524438,720575940615682246,157767
720575941392577284,720575940632725708,14644
720575941667452147,720575940635696535,152391
720575941667478259,720575940617063325,969739619
720575941667483123,720575940624355051,177248
720575941667501233,720575940626741265,932780
720575941667502579,720575940632458195,563630
720575941667506419,720575940639442595,475469
720575941666613747,720575940621260052,30714
720575941392665238,720575940631468831,435333
720575941392686742,720575940635962254,553738738
720575941392755094,720575940616095517,59932
720575941666678515,720575940630521292,12803
720575941667077619,720575940621870079,79978
720575941667081459,720575940613664874,32864
720575941667125491,720575940627090664,30719
720575941667158771,720575940620709185,1033806156
720575941667266547,720575940637949161,154433
720575941665097203,720575940631124076,30465
720575941666147059,720575940617906315,42485
720575941666258675,720575940619997632,28273
720575941666267379,720575940649571961,131408
720575941666268403,720575940616390237,61689
720575941666289651,720575940621306956,17176
720575941666361075,720575940634604895,83500
720575941663701884,720575940647560500,13803
720575941663705468,720575940613093010,55631
720575941392874902,720575940613991731,43457
720575941392903940,720575940606739634,32463
720575941392950532,720575940634952299,22256
720575941393072790,720575940615966749,516910
720575941663480188,720575940607451081,12743
720575941663497084,720575940611735514,10971
720575941663518844,720575940624816115,13295
720575941663552124,720575940633924653,93348
720575941663657084,720575940614973708,16866
720575941663663228,720575940632467743,80919
720575941663678844,720575940631098947,23096
720575941687978102,720575940625136228,327161
720575941687987439,720575940632745186,535930
720575941688026607,720575940618064950,84834
720575941688034799,720575940627306073,67557
720575941688066799,720575940630759485,387514
720575941688083574,720575940625180803,34121
720575941688093167,720575940629428695,519717
720575941393181846,720575940625737859,56264
720575941393196950,720575940611102437,53514
720575941393242628,720575940633228103,10068
720575941393333654,720575940625549128,237046948
720575941393354390,720575940623776458,237744
720575941392812548,720575940627732361,515575
720575941663267196,720575940624412222,83404
720575941663295100,720575940616000342,541498
720575941663360892,720575940616533275,45368
720575941663392892,720575940629004158,606196441
720575941393617302,720575940653367030,104132
720575941393621910,720575940627279674,15449
720575941393623958,720575940636651512,529604
720575941393630102,720575940638646480,519290
720575941393645462,720575940615742977,146988
720575941393684886,720575940632530387,11101
720575941393686934,720575940611617838,14287
720575941663471740,720575940602444512,62760
720575941663065980,720575940621183587,44666
720575941663102520,720575940644751652,13585
720575941662678072,720575940628861188,13303
720575941662695992,720575940628659305,144505
720575941662746748,720575940625455134,109478
720575941662770044,720575940616121501,130972
720575941662789244,720575940619632148,71284
720575941662506040,720575940644666660,11653
720575941662522936,720575940642729376,33380
720575941662555192,720575940609920376,89475
720575941393983382,720575940626462014,10069
720575941394119830,720575940641148149,506334
720575941395464289,720575940637526845,39871
720575941662582140,720575940623679495,24204
720575941662597688,720575940616644235,535136
720575941662611768,720575940609774347,142923
720575941662618680,720575940629154545,47037
720575941662630200,720575940609586500,117083
720575941662081916,720575940609860803,26584
720575941662127416,720575940626422513,22293
720575941662212988,720575940620537370,25013
720575941662302844,720575940611904296,520386
720575941399042851,720575940614014895,14249
720575941399380515,720575940614588778,22474
720575941399501091,720575940638818126,12978
720575941399526435,720575940632993336,91939
720575941662407992,720575940622579967,10536
720575941662445180,720575940621163802,229702
720575941662488632,720575940627314009,44184
720575941662495356,720575940644801060,25465
720575941661777208,720575940637002574,163672
720575941661790776,720575940614646495,51453
720575941661796988,720575940620068205,66155
720575941661832504,720575940618574983,443183
720575941661997436,720575940634383330,19057
720575941662014776,720575940627846955,88164
720575941688148207,720575940614428319,14223
720575941688153839,720575940630125884,21201
720575941688180492,720575940615731818,43164
720575941688186230,720575940631923816,747796417
720575941399983395,720575940626611026,54372
720575941400086051,720575940631312428,23497
720575941400228643,720575940623804560,28134
720575941400285475,720575940605658033,12485
720575941400457251,720575940628656683,140866
720575941400580899,720575940620989556,184586
720575941661428280,720575940605075116,62884
720575941661563960,720575940609713250,553227783
720575941661575548,720575940629668713,38862
720575941661655608,720575940632079943,50082
720575941661666684,720575940625420931,52669
720575941660443192,720575940643063200,138335
720575941660948348,720575940622996579,10923
720575941661019704,720575940618961773,92853
720575941661072952,720575940643829102,25547
720575941661127992,720575940618614254,176451
720575941661140792,720575940618735105,43412
720575941659438160,720575940616581186,104058
720575941400838179,720575940630011708,74110
720575941400930851,720575940640883363,31167
720575941401227299,720575940622440486,515653
720575941659456336,720575940639376512,115479
720575941659568464,720575940633293794,265556305
720575941659653712,720575940629062162,56660
720575941659661624,720575940625429647,50107
720575941659209808,720575940633593804,84474
720575941659215440,720575940643853256,24206
720575941401286179,720575940620217782,137984
720575941401338403,720575940614383978,178416
720575941401508131,720575940618213103,66685
720575941401579555,720575940631089256,91360
720575941401613091,720575940632401804,38360
720575941401617443,720575940621291852,213187
720575941401648419,720575940623189739,205095020
720575941659239760,720575940629186620,24162
720575941659254096,720575940618609112,531732
720575941659328592,720575940624910128,14121
720575941688229750,720575940612895697,63475
720575941688242328,720575940611807795,35345
720575941688300662,720575940625572240,150732
720575941688304758,720575940618817262,145719
720575941688309878,720575940615155910,62710
720575941401753635,720575940612698287,217430
720575941401766435,720575940644494752,10800
720575941401786403,720575940605009097,17019
720575941401814307,720575940611813842,10301
720575941401861923,720575940631772367,29843
720575941401953315,720575940635465573,343840
720575941688330614,720575940620957110,393736
720575941659000400,720575940631922489,27859
720575941659040080,720575940639151960,806010
720575941659115288,720575940614595643,41594
720575941659116368,720575940630311183,529517
720575941658842136,720575940621071536,17958
720575941658852632,720575940627353426,16228
720575941658863640,720575940626233512,30601
720575941658864920,720575940623366102,11644
720575941658887192,720575940617874555,107685
720575941658893648,720575940633196280,105291
720575941658910488,720575940638989894,11158
720575941658936144,720575940617809181,10957
720575941658944592,720575940658690177,31540
720575941402006819,720575940631668793,154070
720575941402069283,720575940634113687,17717
720575941402073635,720575940638200910,29660
720575941402084643,720575940618263365,12755
720575941658787352,720575940636137079,533783
720575941658788632,720575940609834308,11774
720575941658805840,720575940624351785,531838
720575941658829080,720575940633916333,529681
720575941658526288,720575940624306494,33204
720575941402410352,720575940619611782,56826
720575941402440995,720575940617219933,553895
720575941658561048,720575940611703080,16005
720575941658613784,720575940630119532,13994
720575941688387084,720575940615650646,383372
720575941688425484,720575940613830722,58668
720575941688443254,720575940612773338,96835
720575941688446476,720575940630662737,325265593
720575941658203472,720575940619318321,25348
720575941658216272,720575940622017148,125813
720575941658237264,720575940631708719,92601
720575941658397264,720575940641240205,34901
720575941658407448,720575940622643661,323027797
720575941658442776,720575940624834547,711179276
720575941402749552,720575940610792290,12845
720575941402863216,720575940607193986,522704
720575941403052912,720575940612627106,34984
720575941403058800,720575940637250661,30017
720575941403059056,720575940651404278,29865
720575941403071088,720575940623255369,86507
720575941403106416,720575940658529665,59197
720575941403107952,720575940634821733,57192
720575941403315312,720575940618627669,109846
720575941658042648,720575940621052118,202114
720575941658052120,720575940620686324,143937
720575941658065488,720575940630684943,58941
720575941658109776,720575940628700571,309593
720575941658191640,720575940628795276,110403310
720575941657651280,720575940615720350,78317
720575941403362672,720575940624742414,218583
720575941403931248,720575940627663100,42580
720575941403937136,720575940620492246,40732
720575941403959920,720575940611853265,171800
720575941403983472,720575940630620812,81143
720575941404054896,720575940623708135,423778
720575941404117104,720575940629155450,51678
720575941657684560,720575940611837938,363186
720575941657881112,720575940625932275,90574
720575941658032208,720575940629967756,56424
720575941657211928,720575940609548920,42815
720575941657308184,720575940621678942,42956
720575941657482520,720575940624210824,96149
720575941657558296,720575940657604225,120476
720575941656420688,720575940626314061,523775
720575941656503376,720575940623228967,16886
720575941404699504,720575940620496555,50515
720575941404711792,720575940614236200,520485
720575941404813680,720575940621700789,30827
720575941656680784,720575940635092122,20380
720575941656859160,720575940631254588,42794
720575941656879696,720575940625343806,85106
720575941656914712,720575940619597878,51464
720575941656992592,720575940629254518,41693
720575941655805140,720575940625964184,512350
720575941655820244,720575940634229871,16221
720575941404821104,720575940644521764,53200
720575941404842352,720575940622135718,81431
720575941404873328,720575940633357651,87620
720575941404874352,720575940626557442,14157
720575941404906096,720575940636358719,30142
720575941405094000,720575940617888788,64186
720575941404154992,720575940640645621,31863
720575941688559734,720575940620821333,21331
720575941688562395,720575940616360788,67958
720575941688578316,720575940621774830,22102
720575941688582412,720575940628778490,207192
720575941688606171,720575940631230508,58700
720575941688609548,720575940619529455,29298
720575941688629516,720575940625051319,11061
720575941405216624,720575940630835195,666801768
720575941405232752,720575940635183502,115315
720575941405855918,720575940612547698,50240
720575941405938735,720575940630199963,513284
720575941406137135,720575940638832512,39813
720575941406195886,720575940630785084,45165
720575941406224046,720575940629633150,72141
720575941404814960,720575940637478077,131000
720575941688644315,720575940625343761,33876
720575941655627988,720575940623548135,62675
720575941655632340,720575940626488914,50719
720575941655664596,720575940617440029,20170
720575941655665108,720575940659379073,36477
720575941655669784,720575940614413685,166366
720575941655707348,720575940621366749,28100
720575941406320175,720575940613829388,55868
720575941406525102,720575940612946686,37805
720575941406570543,720575940615966918,39808
720575941406581934,720575940612770418,66812
720575941406593071,720575940604630560,26132
720575941406606127,720575940625267386,64432
720575941406692399,720575940636795620,33897
720575941655223257,720575940617498324,43976
720575941655229401,720575940632823144,15007
720575941655444436,720575940614518690,87956
720575941655450068,720575940613047519,62565
720575941655483092,720575940619206772,87645
720575941655504084,720575940639711566,1050379364
720575941655534804,720575940639137955,40302
720575941655069401,720575940623959477,26545
720575941655117012,720575940621817326,15568
720575941655120852,720575940639246195,525229
720575941655207124,720575940618214360,42993
720575941654744276,720575940629887695,133103
720575941654891481,720575940628420264,12534
720575941654926297,720575940630602579,76047
720575941406724526,720575940638976233,32061
720575941407215151,720575940618090457,49499
720575941654961625,720575940622857827,270708
720575941654968532,720575940626721835,11503
720575941654974169,720575940637444771,58156
720575941654982100,720575940626891151,21356
720575941654998233,720575940622447309,530835
720575941655042777,720575940621298523,513767
720575941654685652,720575940633933975,297455
720575941654687188,720575940628226012,199469
720575941654723284,720575940633806637,11609
720575941654344665,720575940621163277,515124
720575941654383577,720575940616578165,118194
720575941407306543,720575940618857325,61993
720575941407316142,720575940634690529,48901
720575941407320238,720575940609832910,31261
720575941407564718,720575940635768895,1055278121
720575941407570094,720575940620715789,213211
720575941654505689,720575940617232477,242173
720575941654599124,720575940654491553,81233
720575941688655116,720575940639042648,530484
720575941688674200,720575940614562207,26984
720575941688684812,720575940609905220,84604
720575941688685942,720575940632714465,127894
720575941688698331,720575940619501121,24027
720575941407686830,720575940641217664,79488
720575941407701807,720575940630915791,514805
720575941407841071,720575940617034565,11704
720575941688731288,720575940613799218,525420
720575941688745947,720575940611206098,97729
720575941654035473,720575940621596587,15683
720575941654105049,720575940625532689,70235
720575941654166996,720575940638428998,107945
720575941654178004,720575940620459284,37305
720575941654225364,720575940628028163,518632
720575941654273753,720575940611080410,55845
720575941653842705,720575940610518626,800718
720575941653938905,720575940632745261,95861
720575941653715161,720575940643259684,31404
720575941407910574,720575940613664790,107891
720575941407926831,720575940627363687,529984
720575941407931156,720575940622112726,515069
720575941407977263,720575940632356066,154416
720575941408019374,720575940624485127,23666
720575941653778705,720575940612714723,13028
720575941653784081,720575940615950109,46177
720575941653804049,720575940606805705,32071
720575941653553169,720575940641781152,24357
720575941653634004,720575940622083658,31071
720575941653679121,720575940619718209,30773
720575941653259025,720575940623064909,39864
720575941653284825,720575940603596972,41769
720575941653313041,720575940622883853,43066
720575941408213551,720575940635024796,537150
720575941653343961,720575940615954838,38940
720575941653391321,720575940652231158,77225
720575941653476369,720575940619159233,18986
720575941653478868,720575940626019197,18376
720575941688780300,720575940650813686,12646
