alpha,seed,N
α=1.5,24,4784
α=1.5,19,4780
α=8,9,4780
α=20,26,4779
α=1.5,16,4779
α=10,13,4779
α=2,20,4778
α=2,29,4778
α=15,1,4777
α=20,21,4777
α=8,23,4776
α=1.2,12,4776
α=15,24,4776
α=15,10,4774
α=8,8,4774
α=3,15,4774
α=5,1,4774
α=2,1,4774
α=2,17,4774
α=15,27,4773
α=1.2,9,4773
α=20,19,4773
α=8,11,4773
α=1.5,29,4773
α=20,18,4773
α=1.2,6,4773
α=10,1,4773
α=1.5,15,4773
Greedy,0,4773
α=1.2,2,4772
α=20,24,4772
α=15,17,4772
α=1.5,14,4772
α=15,2,4772
α=2,21,4772
α=20,27,4771
α=1.2,8,4771
α=3,3,4771
α=1.2,16,4771
α=20,10,4771
α=2,10,4771
α=2,5,4771
α=8,24,4771
α=10,27,4771
α=8,20,4771
α=8,17,4771
α=8,6,4771
α=5,29,4771
α=3,16,4771
α=8,26,4771
α=15,15,4770
α=15,0,4770
α=10,8,4770
α=10,9,4770
α=10,19,4770
α=8,4,4770
α=15,28,4770
α=2,19,4770
α=5,17,4770
α=2,24,4770
α=8,21,4770
α=3,23,4770
α=5,14,4770
α=8,12,4770
α=15,16,4769
α=1.5,3,4769
α=1.5,4,4769
α=1.5,5,4769
α=8,3,4769
α=1.5,26,4769
α=10,15,4769
α=10,21,4769
α=1.5,10,4769
α=10,23,4769
α=10,7,4769
α=5,16,4769
α=3,27,4769
α=5,0,4769
α=2,22,4769
α=2,13,4769
α=3,7,4769
α=3,8,4769
α=3,17,4769
α=1.2,13,4769
α=1.2,7,4768
α=20,17,4768
α=20,20,4768
α=3,29,4768
α=3,11,4768
α=5,5,4768
α=5,10,4768
α=3,10,4768
α=3,4,4768
α=8,5,4768
α=5,13,4768
α=1.2,21,4768
α=20,4,4768
α=15,21,4768
α=15,26,4768
α=5,24,4768
α=5,28,4768
α=20,7,4768
α=10,29,4767
α=5,6,4767
α=10,4,4767
α=5,22,4767
α=8,13,4767
α=15,4,4767
α=1.5,17,4767
α=3,18,4767
α=3,28,4767
α=15,9,4767
α=15,12,4767
α=20,0,4767
α=1.2,25,4767
α=3,25,4766
α=1.2,11,4766
α=3,14,4766
α=3,5,4766
α=2,7,4766
α=10,25,4766
α=10,22,4766
α=2,4,4766
α=10,28,4766
α=5,4,4766
α=10,10,4766
α=10,16,4766
α=1.2,23,4766
α=2,27,4766
α=3,21,4766
α=3,24,4766
α=10,3,4765
α=1.5,22,4765
α=1.5,28,4765
α=8,10,4765
α=2,16,4765
α=5,18,4765
α=3,12,4765
α=1.2,19,4765
α=15,8,4765
α=1.5,1,4765
α=20,8,4764
α=1.2,15,4764
α=5,2,4764
α=20,11,4764
α=2,0,4764
α=2,18,4764
α=15,11,4764
α=15,29,4764
α=10,14,4764
α=8,27,4764
α=1.2,3,4764
α=20,3,4764
α=1.5,21,4764
α=1.5,0,4763
α=15,22,4763
α=1.2,18,4763
α=15,13,4763
α=1.2,24,4763
α=1.5,11,4763
α=1.5,18,4763
α=15,7,4763
α=20,28,4763
α=2,15,4763
α=1.5,9,4763
α=8,7,4763
α=5,19,4763
α=3,26,4763
α=1.2,17,4763
α=20,14,4763
α=2,26,4763
α=5,8,4763
α=5,9,4763
α=1.2,10,4763
α=3,9,4762
α=10,6,4762
α=8,1,4762
α=2,3,4762
α=8,22,4762
α=15,14,4762
α=1.2,1,4762
α=20,1,4762
α=1.2,22,4762
α=15,19,4762
α=2,11,4761
α=1.5,23,4761
α=5,23,4761
α=1.2,26,4761
α=1.2,27,4761
α=15,25,4761
α=1.5,25,4761
α=3,19,4761
α=3,13,4761
α=3,0,4761
α=3,22,4761
α=20,6,4761
α=20,12,4761
α=5,7,4761
α=1.5,2,4761
α=5,26,4761
α=1.5,7,4761
α=20,9,4760
α=3,20,4760
α=3,6,4760
α=3,2,4760
α=20,15,4760
α=20,16,4760
α=1.5,27,4760
α=20,13,4760
α=20,25,4760
α=20,22,4760
α=2,25,4760
α=8,16,4760
α=15,18,4760
α=5,21,4760
α=1.2,20,4759
α=8,19,4759
α=8,28,4759
α=10,18,4759
α=20,29,4759
α=1.2,4,4759
α=10,11,4759
α=1.2,14,4759
α=20,23,4759
α=8,15,4759
α=5,25,4758
α=15,6,4758
α=20,5,4758
α=3,1,4758
α=5,3,4758
α=5,12,4758
α=15,23,4758
α=8,0,4758
α=5,27,4758
α=8,25,4758
α=2,12,4758
α=2,23,4758
α=2,8,4758
α=10,5,4757
α=1.5,12,4757
α=8,29,4756
α=2,28,4756
α=2,9,4756
α=8,14,4756
α=10,12,4756
α=15,5,4756
α=5,20,4756
α=2,6,4755
α=15,3,4755
α=5,15,4755
α=5,11,4754
α=10,17,4754
α=10,0,4754
α=1.2,5,4753
α=8,2,4753
α=10,26,4753
α=1.2,29,4753
α=15,20,4753
α=10,2,4753
α=1.2,28,4753
α=1.2,0,4752
α=2,14,4752
α=2,2,4752
α=1.5,20,4752
α=1.5,13,4752
α=8,18,4751
α=1.5,6,4751
α=10,24,4750
α=10,20,4750
α=1.5,8,4749
α=20,2,4746
