BANC,FAFB,MCNS
720575941586127750,720575940640096976,12976
720575941506805573,720575940621581121,37597
720575941572726174,720575940623217577,529549
720575941612070876,720575940613061118,522754
720575941392695958,720575940619072513,256844
720575941594189675,720575940628861188,13303
720575941662678072,720575940626741552,12896
720575941600688681,720575940628955648,13270
720575941469997175,720575940632494818,102834
720575941480244815,720575940623637995,81935
720575941470305655,720575940631049002,210111
720575941610237514,720575940605426110,556756
720575941593783232,720575940628081393,158715
720575941604179646,720575940637030975,390191
720575941547293108,720575940628252672,42334
720575941605210558,720575940620203764,24686
720575941548268861,720575940624166680,48312
720575941539327893,720575940634990271,42124
720575941503768043,720575940629092546,36064
720575941658291792,720575940616825122,517643
720575941608014189,720575940612619431,89970
720575941523367755,720575940616652006,145663
720575941485697090,720575940632395420,166984
720575941503679938,720575940624906392,84942
720575941611414758,720575940621326874,145847
720575941474500923,720575940624045155,198139
720575941577670489,720575940623801276,925497
720575941511808210,720575940615723350,192555
720575941538140402,720575940611218418,235199
720575941430513289,720575940625396252,34830
720575941531974629,720575940614478658,56587
720575941528092344,720575940621304004,257825
720575941430301103,720575940628241307,525203
720575941611192650,720575940622475498,186081
720575941612593939,720575940627334918,41371
720575941481232070,720575940623852996,60137
720575941488054480,720575940634573026,43925
720575941476713780,720575940629524780,73667
720575941448448181,720575940609812489,84514
720575941412075375,720575940615627687,84220
720575941496722816,720575940608163285,59459
720575941542582876,720575940623425097,53150
720575941586518494,720575940628334408,63745
720575941652648177,720575940630944360,59426
720575941519664600,720575940619435655,521463
720575941688171788,720575940638291133,136628
720575941540389069,720575940634975423,137786
720575941508394018,720575940627427859,13282
720575941555742035,720575940635552948,18607
720575941643577445,720575940623274966,522345
720575941458813680,720575940625175310,14026
720575941598434460,720575940616783833,517234
720575941415072540,720575940637643109,56205
720575941540570493,720575940607006556,28363
720575941459100319,720575940644306592,13339
720575941526678884,720575940618050776,134768
720575941481500751,720575940605023008,523027
720575941489135308,720575940612359343,27031
720575941530916483,720575940624619036,36076
720575941508569985,720575940632876223,52680
720575941474148192,720575940634407264,16051
720575941579825489,720575940624532408,16795
720575941472536640,720575940620096171,14206
720575941565517975,720575940626117904,18589
720575941576660840,720575940630763724,18513
720575941603790777,720575940625834132,37258
720575941514456569,720575940623132621,555293
720575941546980788,720575940629592571,46544
720575941506175767,720575940611953635,42897
720575941490035431,720575940620043979,43734
720575941440446805,720575940640833013,24958
720575941451049287,720575940614901142,70532
720575941448630094,720575940628994304,72406
720575941622077948,720575940623081909,39900
720575941459097299,720575940638860861,51633
720575941505686807,720575940625267386,72536
720575941562221458,720575940639230180,19265
720575941448628302,720575940612960687,49568
